cliente_id,edad,ingreso_mensual,gasto_mensual,frecuencia_compras,antiguedad_meses,num_productos
CLI-001,25,1311000.0,382000.0,4,5,2
CLI-002,23,1226000.0,429000.0,2,10,2
CLI-003,26,1183000.0,518000.0,4,11,2
CLI-004,30,1155000.0,359000.0,2,6,2
CLI-005,23,978000.0,335000.0,4,11,1
CLI-006,23,1092000.0,360000.0,5,9,1
CLI-007,30,1131000.0,473000.0,2,10,2
CLI-008,27,1359000.0,426000.0,2,14,2
CLI-009,22,1252000.0,358000.0,3,7,2
CLI-010,26,936000.0,441000.0,2,6,3
CLI-011,22,1249000.0,408000.0,1,5,2
CLI-012,22,1142000.0,477000.0,3,6,2
CLI-013,24,1098000.0,344000.0,2,8,2
CLI-014,18,1292000.0,374000.0,3,9,2
CLI-015,18,1355000.0,369000.0,2,9,1
CLI-016,21,1340000.0,283000.0,5,10,2
CLI-017,19,1074000.0,424000.0,2,8,1
CLI-018,25,1154000.0,421000.0,3,12,1
CLI-019,20,1250000.0,400000.0,4,7,1
CLI-020,18,1346000.0,381000.0,2,16,2
CLI-021,29,1128000.0,287000.0,3,10,3
CLI-022,23,1172000.0,366000.0,4,5,1
CLI-023,24,1034000.0,373000.0,1,5,2
CLI-024,18,1021000.0,336000.0,3,9,1
CLI-025,21,1322000.0,387000.0,3,7,1
CLI-026,24,1403000.0,432000.0,4,10,2
CLI-027,19,1189000.0,551000.0,2,9,2
CLI-028,25,1351000.0,414000.0,2,8,1
CLI-029,21,1254000.0,421000.0,4,5,1
CLI-030,22,1103000.0,394000.0,3,3,2
CLI-031,21,1254000.0,246000.0,3,7,1
CLI-032,31,1431000.0,398000.0,3,11,2
CLI-033,23,1195000.0,405000.0,2,9,2
CLI-034,19,1435000.0,597000.0,3,4,1
CLI-035,27,807000.0,385000.0,3,9,3
CLI-036,19,1323000.0,424000.0,2,9,2
CLI-037,24,1213000.0,397000.0,5,5,1
CLI-038,18,1155000.0,307000.0,3,8,2
CLI-039,18,1214000.0,491000.0,2,8,1
CLI-040,24,902000.0,460000.0,4,5,2
CLI-041,33,3292000.0,1262000.0,8,40,4
